Designator,Name,Value,Description,Quantity

"C1, C2, C3, C4, C9, C10, C11, C12, C13, C14, C15, C16, C17, C19, C26, C27, C32, C33, C36, C38, C41, C43","","100nF","0603 100nF 50V X7R 10%","22"
"C5, C7","","8pF","0603 8pF 50V C0G 5%","2"
"C6, C29","","2.2uF","0603 2.2uF 10V X7R 10%","2"
"C8","","2.2uF","1206 (A) 2.2uF 16V 10%","1"
"C18, C20, C21, C22, C23, C28, C37","","10nF","0603 10nF 100V X7R 10%","7"
"C34, C40","","10uF","0805 10uF 10V X5R 10%","2"
"C35","","1uF","0603 1uF 10V X7R 10%","1"
"C39","","47uF","1206 (A) 47uF 10V 20%","1"
"C42","","10uF","1206 (A) 10uF 10V 10%","1"
"D1, D2, D3, D4, D5, D6, D7, D10, D11, D12, D13, D14, D16, D18, D24","ESD5B5.0ST1G","","TVS DIODE 5VWM SOD523","15"
"D8, D9, D19, D20","ESD3V3D5","","TVS DIODE 3.3VWM SOD523","4"
"D15, D17","BAT760","","DIODE SCHOTTKY 20V 1A SOD323","2"
"D21, D22, D23","PMEG3030BEP,115","","DIODE SCHOTTKY 30V 3A SOD128","3"
"FB1","EPZ1005E221-1R2T","","0402 220 OHM 1LN","1"
"L1","","3.3uH","1008 3.3uH 1.2A 100m OHM","1"
"P1, P2","10114830-10103LF","","CONN HEADER SMD R/A 3POS 1.25MM","2"
"P3","0532610871","","CONN HEADER SMD R/A 8POS 1.25MM","1"
"P5","687108149022","","WR-FPC 0.50 mm 8-pin SMT ZIF Horizontal","1"
"P6","687110149022","","WR-FPC 0.50 mm 10-pin SMT ZIF Horizontal","1"
"P9","USB4110-GF-A","","CONN RCP USB2.0 TYP C 24P SMD RA","1"
"P11","TX25-30P-LT-H1E","","CONN PLUG 30POS R/A GOLD","1"
"Q1, Q2","BSS816NW","","MOSFET N-CH 20V 1.4A SOT323-3","2"
"Q3","NTS4101PT1G","","MOSFET P-CH 20V 1.37A SC70-3","1"
"R1, R7, R8, R9, R18, R19, R20, R21, R22, R23, R28, R29","","10K","0603 10K OHM 0.1W 1%","12"
"R2, R10","","120","0603 120 OHM 0.1W 1%","2"
"R3, R12, R26","","510","0603 510 OHM 0.1W 1%","3"
"R4, R5","","2.4K","0603 2.4K OHM 0.1W 1%","2"
"R6, R13, R25","","47K","0603 47K OHM 0.1W 1%","3"
"R11","","1K","0603 1K OHM 0.1W 1%","1"
"R14","","4.7K","0603 4.7K OHM 0.1W 5%","1"
"R15, R16","","5.1K","0603 5.1K OHM 0.1W 1%","2"
"R17","","180","0603 180 OHM 0.1W 1%","1"
"R24","P0915N-FC15BR100K","100K","POT 100K OHM 0.05W 20%","1"
"R27","","1M","0603 1M OHM 0.1W 1%","1"
"R30","","0","0603 0 OHM 0.1W","1"
"SW1, SW4","TL3301SPF260QG","","SWITCH TACTILE SPST-NO 0.05A 12V","2"
"SW2","B13AP","","SWITCH TOGGLE SPDT 0.4VA 28V","1"
"SW3","B18AP","","SWITCH TOGGLE SPDT 0.4VA 28V","1"
"U1, U4","LTC2864HDD-1#PBF","","20Mbps and Slew Rate Limited 15kV RS485/RS422 Transceiver","2"
"U2","STM32F411CEU6","","IC MCU 32BIT 512KB FLSH 48UFQFPN","1"
"U6","687108149022","","WR-FPC 0.50 mm 8-pin SMT ZIF Horizontal","1"
"U7","CP2102","","Single-Chip USB to UART Data Transfer","1"
"U8","AS5048B","","Magnetic Rotary Encoder","1"
"U9","CAT24C256","","Two-Wire I2C Serial EEPROM","1"
"U10","LM1117MPX-3.3","","800-mA, Low-Dropout Linear Regulator","1"
"ZQ1","NX5032GA","8 MHz","CRYSTAL 8.0000MHZ 8PF SMD","1"
